id,status,changes
5623,Core,262
25186,Non core,12
6678,Non core,24
29209,Non core,13
23913,Non core,130
25111,Non core,38
16203,Non core,74
26899,Non core,7
29514,Non core,3
18320,Non core,150
29369,Non core,6
20868,Non core,91
29335,Non core,5
27153,Non core,579
24,Non core,525
27488,Non core,11
26339,Core,31
28665,Non core,18
28646,Non core,7
24042,Non core,10
23942,Non core,17
2813,Core,1360
25588,Non core,3
28521,Non core,97
7272,Core,3
28331,Non core,12
22680,Non core,9
26222,Core,44
17270,Non core,17
12156,Non core,9
22895,Non core,5
28869,Non core,3
17556,Core,26
25618,Non core,10
7614,Non core,7
22420,Non core,3
29423,Non core,146
23625,Non core,25
20970,Core,168
25764,Non core,13
25643,Non core,5
22013,Non core,7
28931,Non core,3
14027,Non core,85
7385,Core,713
8688,Non core,114
26134,Non core,16
16523,Non core,134
19930,Non core,80
21041,Non core,59
4328,Non core,1548
29721,Non core,60
7872,Non core,206
28637,Non core,20
20378,Non core,129
24188,Non core,4
25562,Non core,78
12906,Non core,13
17888,Non core,145
13557,Non core,33
23969,Non core,3
19055,Core,246
28563,Non core,11
19307,Core,32
27593,Non core,20
7509,Non core,384
28935,Non core,208
23081,Non core,138
27385,Non core,62
27372,Non core,38
26507,Core,125
29297,Non core,3
29558,Non core,10
23449,Non core,11
15648,Non core,22
28433,Non core,10
21740,Non core,14
24574,Non core,14
23561,Non core,45
6488,Core,546
8021,Non core,42
10644,Core,26
21691,Non core,328
10384,Core,118
18085,Non core,15
