team,intersection,status
horizon,7.017543859649122,Non-core
horizon,5.2631578947368425,Non-core
horizon,0.0,Non-core
horizon,4.3478260869565215,Non-core
horizon,1.7699115044247788,Non-core
horizon,6.086956521739131,Non-core
horizon,1.7699115044247788,Non-core
horizon,1.7699115044247788,Non-core
horizon,1.7699115044247788,Non-core
horizon,0.0,Non-core
horizon,6.140350877192983,Non-core
horizon,0.0,Non-core
horizon,6.0344827586206895,Non-core
horizon,6.140350877192983,Non-core
horizon,4.385964912280702,Non-core
horizon,6.140350877192983,Non-core
horizon,1.7699115044247788,Non-core
horizon,5.333333333333333,Non-core
horizon,4.0,Non-core
horizon,5.405405405405405,Non-core
horizon,5.555555555555555,Non-core
horizon,4.166666666666667,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,2.898550724637681,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,5.405405405405405,Non-core
horizon,4.225352112676056,Non-core
horizon,4.054054054054054,Non-core
horizon,4.166666666666667,Non-core
horizon,0.0,Non-core
horizon,4.166666666666667,Non-core
horizon,1.4492753623188406,Non-core
horizon,4.054054054054054,Non-core
horizon,1.4492753623188406,Non-core
horizon,1.4492753623188406,Non-core
horizon,1.4492753623188406,Non-core
horizon,0.0,Non-core
horizon,4.109589041095891,Non-core
horizon,0.0,Non-core
horizon,5.405405405405405,Non-core
horizon,4.109589041095891,Non-core
horizon,4.225352112676056,Non-core
horizon,2.702702702702702,Non-core
horizon,1.4492753623188406,Non-core
horizon,31.25,Non-core
horizon,31.25,Non-core
horizon,26.666666666666668,Non-core
horizon,28.571428571428573,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,27.272727272727277,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,16.666666666666668,Non-core
horizon,21.428571428571427,Non-core
horizon,33.333333333333336,Non-core
horizon,28.571428571428573,Non-core
horizon,0.0,Non-core
horizon,28.571428571428573,Non-core
horizon,18.181818181818183,Non-core
horizon,25.0,Non-core
horizon,18.181818181818183,Non-core
horizon,18.181818181818183,Non-core
horizon,18.181818181818183,Non-core
horizon,0.0,Non-core
horizon,26.666666666666668,Non-core
horizon,0.0,Non-core
horizon,23.529411764705884,Non-core
horizon,35.714285714285715,Non-core
horizon,30.76923076923077,Non-core
horizon,26.666666666666668,Non-core
horizon,18.181818181818183,Non-core
horizon,33.333333333333336,Non-core
horizon,38.46153846153846,Non-core
horizon,30.76923076923077,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,30.0,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,25.0,Non-core
horizon,45.45454545454545,Non-core
horizon,58.333333333333336,Non-core
horizon,41.66666666666666,Non-core
horizon,0.0,Non-core
horizon,41.66666666666666,Non-core
horizon,20.0,Non-core
horizon,35.714285714285715,Non-core
horizon,20.0,Non-core
horizon,20.0,Non-core
horizon,20.0,Non-core
horizon,0.0,Non-core
horizon,38.46153846153846,Non-core
horizon,0.0,Non-core
horizon,33.333333333333336,Non-core
horizon,63.63636363636363,Non-core
horizon,45.45454545454545,Non-core
horizon,50.0,Non-core
horizon,20.0,Non-core
horizon,63.63636363636363,Non-core
horizon,54.54545454545455,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,30.0,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,42.85714285714285,Non-core
horizon,45.45454545454545,Non-core
horizon,46.15384615384615,Non-core
horizon,54.54545454545455,Non-core
horizon,0.0,Non-core
horizon,54.54545454545455,Non-core
horizon,20.0,Non-core
horizon,35.714285714285715,Non-core
horizon,20.0,Non-core
horizon,20.0,Non-core
horizon,20.0,Non-core
horizon,0.0,Non-core
horizon,50.0,Non-core
horizon,0.0,Non-core
horizon,42.85714285714285,Non-core
horizon,38.46153846153846,Non-core
horizon,60.0,Non-core
horizon,28.571428571428573,Non-core
horizon,20.0,Non-core
horizon,50.0,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,37.5,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,50.0,Non-core
horizon,55.55555555555556,Non-core
horizon,54.54545454545455,Non-core
horizon,66.66666666666667,Non-core
horizon,0.0,Non-core
horizon,66.66666666666667,Non-core
horizon,25.0,Non-core
horizon,41.66666666666666,Non-core
horizon,25.0,Non-core
horizon,25.0,Non-core
horizon,25.0,Non-core
horizon,0.0,Non-core
horizon,60.0,Non-core
horizon,0.0,Non-core
horizon,50.0,Non-core
horizon,45.45454545454545,Non-core
horizon,75.0,Non-core
horizon,33.333333333333336,Non-core
horizon,25.0,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
horizon,25.0,Non-core
horizon,0.0,Non-core
horizon,0.0,Non-core
