id,changes,status
28286,5,Non core
28402,2,Non core
28607,8,Non core
31564,1,Non core
31697,1,Non core
31799,2,Non core
8868,19,Non core
32688,4,Non core
18781,60,Non core
13734,297,Core
30945,2,Non core
5112,29,Non core
31662,13,Non core
18883,3135,Non core
12281,631,Non core
23168,106,Non core
30596,21,Non core
11744,11,Non core
17850,4,Non core
29755,9,Non core
15888,1825,Non core
26537,3235,Non core
23498,4581,Non core
10068,2600,Non core
26515,6750,Non core
14629,2074,Non core
19339,3392,Non core
32810,1,Non core
24921,1851,Non core
28801,1794,Non core
24814,1447,Non core
30688,508,Non core
32159,198,Non core
10594,14,Non core
25617,3,Non core
26077,1902,Non core
24815,2649,Non core
25678,2228,Non core
30415,1,Non core
32695,1,Non core
4162,2846,Core
31980,54,Non core
21813,226,Non core
25564,197,Non core
6577,3030,Core
8289,2616,Non core
27710,304,Non core
31866,3,Non core
19879,1,Non core
17289,9,Non core
30533,16,Non core
31004,23,Non core
17799,1935,Core
8281,9,Non core
20635,2473,Non core
26040,191,Non core
31596,1,Non core
32155,1,Non core
19004,199,Non core
31280,10,Non core
26580,65,Non core
29671,7,Non core
29157,44,Non core
18199,25,Non core
29239,10,Non core
30676,3,Non core
31254,23,Non core
13832,1,Non core
32519,1,Non core
29132,61,Non core
10607,3656,Core
136,255,Core
7888,78,Non core
17843,9,Non core
30751,10,Non core
27458,182,Core
27821,7,Non core
10086,42,Non core
32220,3,Non core
17031,2,Non core
31854,72,Non core
32549,2,Non core
32541,1,Non core
31425,1,Non core
31695,11,Non core
27944,9,Non core
26828,60,Non core
32301,1,Non core
30921,20,Non core
1998,96,Non core
28271,11,Non core
2101,10,Non core
32547,1,Non core
23312,188,Non core
14123,339,Non core
5690,81,Non core
14760,1674,Non core
14369,51,Non core
7604,1404,Non core
27132,1,Non core
28735,6,Non core
32204,1,Non core
32017,2,Non core
29702,18,Non core
25456,154,Non core
16186,9,Non core
13002,89,Non core
17813,157,Core
26338,2,Non core
10518,23,Non core
16986,238,Non core
31928,1,Non core
31978,1,Non core
32241,1,Non core
32244,1,Non core
32249,1,Non core
31806,4,Non core
4491,1390,Non core
28710,10,Non core
30209,50,Non core
29254,13,Non core
9426,10,Non core
8580,210,Non core
31719,1,Non core
8878,1093,Core
13192,251,Core
29908,3,Non core
7654,7,Non core
29650,11,Non core
31707,12,Non core
32073,3,Non core
19604,50,Non core
19489,18,Non core
21302,164,Non core
24713,8,Non core
10670,2012,Core
31916,4,Non core
2394,283,Core
22437,25,Non core
156,1047,Core
28948,33,Core
28533,16,Non core
28258,3,Non core
22899,100,Core
30759,90,Core
