is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
False,False,openstackansible,openstackansible,93.09,False
True,False,openstackansible,openstackansible,31.72,False
True,False,ironic,ironic,0.03,True
True,False,tripleo,tripleo,305.0,False
True,False,tripleo,tripleo,324.8,False
True,True,tripleo,neutron,981.25,True
True,False,tripleo,tripleo,289.27,True
True,True,,,0.03,True
True,False,tripleo,tripleo,19.79,True
True,False,tripleo,tripleo,0.01,True
True,False,kolla,kolla,2927.59,True
True,False,tripleo,tripleo,0.42,True
True,False,manila,manila,314.31,False
True,False,manila,manila,120.94,False
True,True,releasemanagement,,22.53,True
True,True,,,1.66,True
True,True,,,1.66,True
True,False,neutron,neutron,98.18,True
True,True,,nova,247.31,True
True,True,,tripleo,544.61,True
True,True,puppetopenstack,tripleo,21.45,True
True,False,neutron,neutron,0.05,True
True,False,ironic,ironic,19.65,True
True,False,tripleo,tripleo,3.44,True
True,False,kuryr,kuryr,0.24,True
True,False,tripleo,tripleo,0.04,True
True,False,tripleo,tripleo,314.66,True
False,False,kuryr,kuryr,865.45,False
True,False,neutron,neutron,2202.44,False
True,False,openstackansible,openstackansible,32.86,True
True,False,openstackansible,openstackansible,19.95,False
True,False,openstackansible,openstackansible,27.34,True
True,False,openstackansible,openstackansible,34.14,True
True,True,openstackansible,,34.32,True
True,True,openstackansible,,2.71,False
True,True,openstackansible,,8.81,True
True,False,openstackansible,openstackansible,394.81,False
True,False,tripleo,tripleo,20.88,False
True,False,openstackansible,openstackansible,33.94,True
True,False,openstackansible,openstackansible,0.13,True
True,True,openstackansible,,20.23,False
True,True,openstackansible,,14.13,True
True,True,openstackansible,,0.03,True
True,True,openstackansible,,379.97,False
True,True,openstackansible,,1.39,True
True,True,openstackansible,,54.5,True
True,False,openstackansible,openstackansible,34.47,True
True,False,openstackansible,openstackansible,16.76,True
True,False,openstackansible,openstackansible,0.08,True
True,False,openstackansible,openstackansible,4050.08,True
True,True,openstackansible,,35.06,True
True,True,openstackansible,,34.74,True
True,True,openstackansible,,33.39,True
True,False,openstackansible,openstackansible,34.85,True
True,False,openstackansible,openstackansible,35.37,True
True,False,tripleo,tripleo,1.51,True
True,True,openstackansible,,34.69,True
True,True,openstackansible,,2.47,True
True,False,tripleo,tripleo,3.22,True
True,False,tripleo,tripleo,117.29,True
True,True,openstackansible,,4.23,True
True,False,openstackansible,openstackansible,26.74,True
True,False,openstackansible,openstackansible,4049.4,True
True,True,openstackansible,,34.8,True
True,False,openstackansible,openstackansible,33.89,True
True,False,openstackansible,openstackansible,26.65,True
True,False,openstackansible,openstackansible,33.82,True
True,False,openstackansible,openstackansible,3.01,True
True,True,openstackansible,,33.23,True
True,False,openstackansible,openstackansible,35.18,True
True,False,openstackansible,openstackansible,33.17,True
True,False,openstackansible,openstackansible,35.12,True
True,False,openstackansible,openstackansible,1.01,False
True,True,,tripleo,24.51,False
True,False,tripleo,tripleo,0.99,True
True,True,nova,puppetopenstack,3518.56,False
True,False,kolla,kolla,0.03,True
True,True,qualityassurance,cinder,9.94,True
False,False,cinder,cinder,37.72,True
True,True,qualityassurance,cinder,0.41,True
True,False,tripleo,tripleo,1829.12,False
True,False,tripleo,tripleo,52.3,True
True,True,requirements,neutron,175.18,True
True,True,horizon,designate,1614.83,True
True,True,neutron,openstacksdk,11588.88,True
True,False,manila,manila,676.53,False
True,False,tripleo,tripleo,5941.18,False
True,False,manila,manila,4.62,True
True,False,tripleo,tripleo,5941.06,False
True,True,requirements,neutron,175.28,True
True,True,aodh,telemetry,249.58,False
True,False,tripleo,tripleo,0.12,True
True,False,kolla,kolla,80.41,True
True,True,qualityassurance,neutron,74.88,True
True,False,tripleo,tripleo,95.92,True
True,False,openstackansible,openstackansible,38380.98,False
True,True,kollaansible,openstackansible,50.54,True
True,False,openstackansible,openstackansible,856.96,True
True,True,tempest,swift,37307.94,False
True,False,designate,designate,0.73,True
True,False,designate,designate,2.41,True
True,False,tripleo,tripleo,90.17,True
True,False,tripleo,tripleo,23.91,True
True,False,ironic,ironic,2927.35,False
True,True,requirements,horizon,0.33,True
True,False,qualityassurance,qualityassurance,4.69,True
True,True,openstackchef,openstackclient,0.01,True
True,False,tripleo,tripleo,0.08,True
False,False,neutron,neutron,23.46,True
False,False,neutron,neutron,23.48,True
False,False,neutron,neutron,23.49,True
True,True,nova,placement,0.07,True
True,False,neutron,neutron,140.62,True
True,True,,technicalcommittee,0.02,True
True,False,ironic,ironic,0.51,True
True,True,kollaansible,openstackansible,144.93,True
True,True,horizon,ironic,1614.06,True
True,True,qualityassurance,cyborg,978.94,True
True,False,designate,designate,548.89,True
True,True,qualityassurance,designate,63.0,True
True,True,neutron,designate,1038.84,True
True,True,qualityassurance,cinder,47.68,True
True,False,cinder,cinder,39.28,True
True,True,qualityassurance,neutron,0.42,True
True,True,qualityassurance,neutron,975.84,True
True,False,openstackcharms,openstackcharms,0.03,True
True,False,ironic,ironic,316.62,True
True,True,qualityassurance,designate,1039.23,True
True,True,,designate,9.43,True
False,False,neutron,neutron,795.7,True
True,False,qualityassurance,qualityassurance,986.64,True
True,True,nova,placement,0.07,True
True,True,tempest,qualityassurance,938.57,True
True,False,openstackansible,openstackansible,0.1,True
True,True,tempest,qualityassurance,0.26,True
True,False,qualityassurance,qualityassurance,10.35,True
