is_cross,is_cross_service,lag
True,True,0.08
True,False,3457.02
True,False,2400.43
True,True,0.11
True,False,3144.7
True,True,2689.81
True,False,867.78
True,False,0.01
True,True,141.68
True,True,101.66
True,False,3170.04
True,True,226.19
True,False,195.02
True,False,54.06
True,True,0.28
True,True,526.47
True,True,1803.12
True,True,1.94
True,False,571.52
True,True,2332.69
True,True,5980.26
True,False,0.19
True,True,105.28
True,False,879.43
True,False,0.04
True,True,522.78
True,False,494.91
True,True,510.2
True,False,1.63
True,False,4.24
True,False,21.28
True,False,286.87
True,False,0.07
True,False,0.07
True,False,510.57
True,True,107.93
True,True,0.1
True,False,875.87
True,True,313.3
True,True,5925.74
True,False,2666.0
True,False,791.33
True,True,95.56
True,True,0.1
True,True,840.72
True,True,917.25
True,True,0.02
True,True,0.21
True,True,1.21
True,False,0.23
True,True,0.04
True,True,541.94
False,False,3786.18
True,False,1007.87
True,False,4.96
False,False,415.14
True,False,377.86
True,True,6094.96
True,True,11.04
True,False,337.4
True,False,2728.07
False,False,242.87
True,False,2033.82
True,True,20.74
True,True,6904.44
True,False,7345.74
True,True,0.02
True,False,245.55
True,True,175.92
False,False,505.02
True,True,5611.03
True,True,18.76
True,False,16.81
True,False,407.84
True,True,1.2
True,True,0.31
True,True,20680.2
True,True,361.77
True,True,191.39
True,True,4734.68
True,False,942.78
False,False,1831.17
True,False,503.87
True,True,0.02
True,True,0.03
True,True,647.93
True,True,344.3
True,False,2018.56
True,False,561.13
True,False,3.25
True,False,93.6
True,False,135.62
True,False,5.52
True,True,0.55
True,False,1517.96
True,False,11.06
True,False,3723.13
True,False,1007.43
True,False,41.91
True,False,9359.81
False,False,317.97
False,False,998.87
True,False,460.02
False,False,0.03
True,True,1488.41
True,False,0.25
True,False,688.56
True,False,7.49
True,True,189.64
True,True,14288.21
False,False,1660.78
True,False,2881.16
True,False,0.59
True,False,1480.41
True,True,0.06
False,False,92.98
True,False,0.18
True,False,17.69
True,True,0.03
True,False,4921.8
True,True,0.03
True,True,20538.62
True,False,24.5
True,False,43.85
True,False,170.11
True,False,1.42
True,True,3126.83
True,False,137.06
True,True,2992.68
True,False,3725.9
True,False,21.93
True,False,3233.86
True,True,6.78
True,True,25.63
True,True,146.22
True,False,96.01
False,False,49.45
True,True,0.35
True,False,122.71
True,False,8052.73
True,False,0.27
True,True,23.65
True,False,686.17
False,False,1515.15
True,False,548.21
True,False,0.02
True,True,1.76
True,False,284.5
True,True,103.12
True,False,27.83
True,False,213.74
True,True,15.54
True,True,0.39
True,True,7.45
True,True,2.27
True,False,0.12
True,False,0.2
True,False,2609.3
True,True,4066.22
True,False,76.17
True,False,5587.52
True,False,744.21
True,False,181.62
True,False,2.43
True,False,6191.9
True,False,50.99
True,True,5337.76
True,False,869.75
False,False,97.1
True,False,20.92
True,False,909.22
True,True,1.24
True,True,0.17
True,False,76.67
True,False,602.16
True,False,14978.36
True,False,2070.63
True,True,0.07
True,False,0.25
True,True,3.18
False,False,16799.34
True,False,116.0
True,False,2302.43
True,False,812.45
True,False,82.57
True,True,24380.35
True,True,21641.01
True,False,293.63
False,False,51.98
True,False,1375.26
True,True,41.87
True,True,0.34
True,False,1249.39
True,False,833.99
True,True,149.48
True,False,246.42
True,True,0.02
True,False,2971.56
True,True,6.08
True,True,8.42
True,True,2750.51
True,False,646.93
False,False,14454.88
True,False,124.35
