Path
"['openstack/tempest' 'openstack/devstack-plugin-ceph' 'openstack/neutron'
 'openstack/kuryr' 'openstack/openstack-ansible-tests'
 'openstack/python-zaqarclient' 'openstack/blazar-nova'
 'openstack/compute-hyperv' 'openstack/os-net-config'
 'openstack/rpm-packaging' 'openstack/diskimage-builder'
 'openstack/python-solumclient' 'openstack/monasca-common'
 'openstack/python-designateclient' 'openstack/loci'
 'openstack/tripleo-upgrade' 'openstack/governance'
 'openstack/openstack-ansible-os_monasca-ui' 'openstack/futurist'
 'openstack/election' 'openstack/python-masakariclient'
 'openstack/networking-bgpvpn' 'openstack/python-manilaclient'
 'openstack/devstack-gate' 'openstack/kuryr-tempest-plugin'
 'openstack/searchlight' 'openstack/oslo.config'
 'openstack/networking-hyperv' 'openstack/instack-undercloud'
 'openstack/osprofiler' 'openstack/trove-dashboard' 'openstack/shade'
 'openstack/nova-powervm' 'openstack/networking-midonet'
 'openstack/dragonflow' 'openstack/zun-ui' 'openstack/osc-lib'
 'openstack/python-zunclient' 'openstack/trove' 'openstack/releases'
 'openstack/puppet-murano' 'openstack/os-testr'
 'openstack/networking-bagpipe' 'openstack/ironic-tempest-plugin'
 'openstack/tricircle' 'openstack/neutron-dynamic-routing'
 'openstack/neutron-vpnaas' 'openstack/neutron-fwaas'
 'openstack/neutron-lbaas' 'openstack/ec2-api'
 'openstack/django_openstack_auth' 'openstack/openstack-manuals'
 'openstack/python-senlinclient' 'openstack/rally'
 'openstack/kolla-kubernetes' 'openstack/python-cinderclient'
 'openstack/os-refresh-config' 'openstack/ironic-python-agent'
 'openstack/freezer' 'openstack/designate-tempest-plugin' 'openstack/aodh'
 'openstack/gnocchi' 'openstack/python-aodhclient' 'openstack/ldappool'
 'openstack/trove-integration' 'openstack/networking-generic-switch'
 'openstack/pycadf' 'openstack/keystoneauth-saml2'
 'openstack/python-keystoneclient-kerberos' 'openstack/os-client-config'
 'openstack/networking-ofagent' 'openstack/oslo-incubator'
 'openstack/tempest-lib' 'openstack/python-barbicanclient'
 'openstack/python-troveclient' 'openstack/python-heatclient'
