Number,is_same_dev,Churn,Revisions,Duration,Label,Project_type
826719,Same,672,11.0,622.51,D-O/N-B,Source
834269,Different,13,3.0,2478.88,D-O/N-B,Source
846166,Different,3,4.0,309.63,D-O/N-B,Source
843769,Same,10,2.0,339.97,D-O/N-B,Source
848002,Different,15,1.0,18.93,D-O/N-B,Source
847366,Same,220,9.0,172.18,D-O/N-B,Source
847362,Same,15,3.0,119.2,D-O/N-B,Source
844463,Same,1,1.0,22.38,D-O/N-B,Source
847668,Different,1,1.0,20.62,D-O/N-B,Source
847550,Same,2,1.0,87.75,D-O/N-B,Source
845687,Different,2,1.0,138.28,D-O/N-B,Source
845637,Different,2,1.0,16.87,D-O/N-B,Source
847402,Same,1,1.0,107.76,D-O/N-B,Source
840433,Same,102,11.0,1305.02,D-O/N-B,Source
847128,Same,199,34.0,135.17,D-O/N-B,Source
845687,Same,2,1.0,138.28,D-O/N-B,Source
845637,Same,2,1.0,16.87,D-O/N-B,Source
828902,Same,12,6.0,3183.75,D-O/N-B,Source
845854,Same,4,4.0,204.85,D-O/N-B,Source
838536,Different,62,1.0,3.0,D-O/N-B,Source
837400,Different,62,5.0,193.36,D-O/N-B,Source
846196,Same,24,2.0,136.91,D-O/N-B,Source
844490,Same,1556,2.0,537.48,D-O/N-B,Source
844500,Same,1,1.0,535.46,D-O/N-B,Source
818717,Same,41,2.0,341.87,D-O/N-B,Source
833286,Same,17,2.0,119.81,D-O/N-B,Source
837251,Same,15,2.0,586.08,D-O/N-B,Source
845652,Same,60,5.0,78.47,D-O/N-B,Source
824926,Same,240,3.0,225.85,D-O/N-B,Source
841911,Same,31,3.0,29.33,D-O/N-B,Source
841414,Same,848,22.0,345.43,D-O/N-B,Source
841107,Same,61,7.0,1011.07,D-O/N-B,Source
838610,Same,8,3.0,1496.09,D-O/N-B,Source
841414,Same,848,22.0,345.43,D-O/N-B,Source
831935,Different,48,6.0,1147.98,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
846145,Different,12,1.0,31.94,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845994,Different,2,1.0,17.23,D-O/N-B,Source
845894,Same,2,1.0,33.95,D-O/N-B,Source
846224,Different,11,4.0,21.58,D-O/N-B,Source
846287,Different,3,2.0,131.57,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
846349,Same,1,1.0,3.43,D-O/N-B,Source
845994,Different,2,1.0,17.23,D-O/N-B,Source
845894,Same,2,1.0,33.95,D-O/N-B,Source
844048,Same,4,1.0,189.85,D-O/N-B,Source
846135,Different,1,1.0,23.1,D-O/N-B,Source
846162,Same,3,2.0,23.53,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
846142,Same,2,1.0,22.38,D-O/N-B,Source
846151,Same,4,1.0,20.31,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
846194,Same,12,3.0,335.98,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
841762,Same,8,3.0,238.1,D-O/N-B,Source
842273,Same,2,8.0,388.26,D-O/N-B,Source
845998,Same,2,1.0,16.73,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
845690,Same,136,5.0,49.0,D-O/N-B,Source
837742,Different,39,10.0,1455.39,D-O/N-B,Source
845189,Different,12,4.0,24.02,D-O/N-B,Source
842380,Same,93,5.0,470.99,D-O/N-B,Source
825178,Different,52,6.0,1364.69,D-O/N-B,Source
844905,Same,29,8.0,192.56,D-O/N-B,Source
843354,Same,3,1.0,78.52,D-O/N-B,Source
843295,Same,6,3.0,120.63,D-O/N-B,Source
835073,Different,25,6.0,501.74,D-O/N-B,Source
828089,Same,7,11.0,1027.29,D-O/N-B,Source
845268,Same,3,1.0,18.54,D-O/N-B,Source
831929,Same,56,4.0,1818.53,D-O/N-B,Source
823000,Same,8,5.0,1517.24,D-O/N-B,Source
845018,Different,2,2.0,124.96,D-O/N-B,Source
811195,Different,1304,3.0,237.26,D-O/N-B,Source
845057,Same,17,4.0,73.03,D-O/N-B,Source
811194,Different,1819,3.0,193.04,D-O/N-B,Source
845268,Same,3,1.0,18.54,D-O/N-B,Source
843764,Different,5,5.0,1937.33,D-O/N-B,Source
844441,Same,110,2.0,83.43,D-O/N-B,Source
843752,Same,5,2.0,1.79,D-O/N-B,Source
844477,Same,7,1.0,123.59,D-O/N-B,Source
843864,Same,25,2.0,95.95,D-O/N-B,Source
820586,Different,1,1.0,4188.3,D-O/N-B,Source
838713,Same,9,2.0,956.0,D-O/N-B,Source
843711,Same,41,8.0,248.54,D-O/N-B,Source
832771,Different,4,6.0,3051.46,D-O/N-B,Source
836217,Same,7,1.0,4.75,D-O/N-B,Source
834975,Same,16,1.0,210.34,D-O/N-B,Source
841762,Same,8,3.0,238.1,D-O/N-B,Source
842273,Same,2,8.0,388.26,D-O/N-B,Source
827129,Different,9,1.0,17.49,D-O/N-B,Source
830615,Same,2,2.0,1830.38,D-O/N-B,Source
839362,Same,7,3.0,917.49,D-O/N-B,Source
838415,Same,260,2.0,1102.01,D-O/N-B,Source
842436,Same,73,5.0,347.7,D-O/N-B,Source
840771,Same,10,2.0,471.9,D-O/N-B,Source
843989,Same,24,2.0,33.81,D-O/N-B,Source
843534,Same,15,2.0,140.34,D-O/N-B,Source
844077,Same,50,2.0,17.1,D-O/N-B,Source
838830,Same,86,2.0,146.42,D-O/N-B,Source
