Source,Target,Source_repo,Target_repo
861110,861571,openstack/tempest,openstack/tacker-horizon
660239,835175,openstack/octavia,openstack/openstacksdk
656811,843285,openstack/octavia,openstack/tripleo-heat-templates
864247,864248,openstack/tripleo-ansible,openstack/tripleo-heat-templates
864838,864994,openstack/tripleo-quickstart-extras,openstack/tripleo-ansible
861352,861364,openstack/designate,openstack/designate-tempest-plugin
864948,860795,openstack/devstack-plugin-ceph,openstack/devstack
862359,858369,openstack/puppet-tripleo,openstack/tripleo-heat-templates
855952,864308,openstack/python-barbicanclient,openstack/octavia
865050,865053,openstack/tripleo-ci,openstack/python-tripleoclient
865050,865057,openstack/tripleo-ci,openstack/tripleo-common
865050,865051,openstack/tripleo-ci,openstack/tripleo-ansible
865050,865054,openstack/tripleo-ci,openstack/puppet-tripleo
865050,865056,openstack/tripleo-ci,openstack/os-net-config
864673,864595,openstack/nova,openstack/tempest
865040,864595,openstack/neutron,openstack/tempest
861110,861609,openstack/tempest,openstack/cinder
864948,861609,openstack/devstack-plugin-ceph,openstack/cinder
829711,829713,openstack/tripleo-quickstart,openstack/tripleo-ci
864005,863944,openstack/glance-tempest-plugin,openstack/glance
864005,864865,openstack/glance-tempest-plugin,openstack/glance
863170,864180,openstack/puppet-ovn,openstack/tripleo-heat-templates
864997,864844,openstack/devstack,openstack/glance-tempest-plugin
861110,862189,openstack/tempest,openstack/glance
863524,862189,openstack/devstack-plugin-ceph,openstack/glance
861110,862183,openstack/tempest,openstack/os-brick
861110,861471,openstack/tempest,openstack/placement
861110,861053,openstack/tempest,openstack/nova
861110,861467,openstack/tempest,openstack/os-resource-classes
860599,864464,openstack/governance,openstack/openstack-zuul-jobs
864392,864409,openstack/tripleo-ansible,openstack/tripleo-operator-ansible
859574,859577,openstack/os-vif,openstack/nova
859573,859577,openstack/neutron-lib,openstack/nova
804578,804589,openstack/manila,openstack/manila-tempest-plugin
864690,864500,openstack/tripleo-quickstart,openstack/tripleo-heat-templates
864690,864474,openstack/tripleo-quickstart,openstack/tripleo-heat-templates
861110,861325,openstack/tempest,openstack/ironic
851681,851682,openstack/ironic,openstack/bifrost
831607,860087,openstack/tempest,openstack/nova
855711,859877,openstack/requirements,openstack/cinder
864196,864197,openstack/puppet-tripleo,openstack/tripleo-heat-templates
864690,864499,openstack/tripleo-quickstart,openstack/tripleo-heat-templates
825008,827925,openstack/manila,openstack/manila-tempest-plugin
825008,803424,openstack/manila,openstack/python-manilaclient
862356,862359,openstack/puppet-cinder,openstack/puppet-tripleo
863814,829711,openstack/openstack-tempest-skiplist,openstack/tripleo-quickstart
831799,800964,openstack/requirements,openstack/openstack-helm-images
864566,864571,openstack/keystone,openstack/keystone-tempest-plugin
843103,863977,openstack/glance_store,openstack/glance
763516,863977,openstack/devstack-plugin-nfs,openstack/glance
863170,864239,openstack/puppet-ovn,openstack/tripleo-heat-templates
863170,864237,openstack/puppet-ovn,openstack/tripleo-heat-templates
863158,863161,openstack/project-config,openstack/governance
864160,862416,openstack/devstack,openstack/nova
864018,863315,openstack/oslo.log,openstack/neutron
864018,864209,openstack/oslo.log,openstack/oslo.privsep
863170,863171,openstack/puppet-ovn,openstack/tripleo-heat-templates
824479,841513,openstack/tripleo-ci,openstack/tripleo-heat-templates
849038,848668,openstack/openstack-helm-infra,openstack/openstack-helm
831799,800541,openstack/requirements,openstack/openstack-helm-images
863796,863797,openstack/aodh,openstack/python-aodhclient
770126,770127,openstack/tripleo-quickstart-extras,openstack/tripleo-quickstart
847323,847010,openstack/tripleo-ansible,openstack/tripleo-quickstart-extras
850131,848208,openstack/tripleo-common,openstack/tripleo-heat-templates
860540,860549,openstack/openstack-ansible-os_nova,openstack/openstack-ansible
862594,860549,openstack/openstack-ansible-os_neutron,openstack/openstack-ansible
829711,861363,openstack/tripleo-quickstart,openstack/tripleo-heat-templates
829713,861363,openstack/tripleo-ci,openstack/tripleo-heat-templates
863814,861363,openstack/openstack-tempest-skiplist,openstack/tripleo-heat-templates
863597,861363,openstack/tripleo-quickstart-extras,openstack/tripleo-heat-templates
855978,855982,openstack/charms.ceph,openstack/charm-ceph-osd
733961,735430,openstack/cliff,openstack/osc-lib
853829,863796,openstack/telemetry-tempest-plugin,openstack/aodh
855344,863796,openstack/devstack,openstack/aodh
735430,735431,openstack/osc-lib,openstack/python-openstackclient
814193,863925,openstack/devstack,openstack/nova
814193,863926,openstack/devstack,openstack/glance
863083,863101,openstack/requirements,openstack/horizon
810457,860812,openstack/cinder,openstack/devstack
863284,837053,openstack/ceilometer,openstack/aodh
735465,735434,openstack/cliff,openstack/python-openstackclient
863029,855711,openstack/ironic,openstack/requirements
780967,780970,openstack/kolla,openstack/kolla-ansible
854554,852652,openstack/horizon,openstack/requirements
863584,863585,openstack/charm-ops-sunbeam,openstack/charm-nova-k8s
844141,843497,openstack/tripleo-ci,openstack/tripleo-quickstart
857933,859240,openstack/manila-tempest-plugin,openstack/manila
861390,860863,openstack/tempest,openstack/nova
857947,857976,openstack/openstacksdk,openstack/ansible-collections-openstack
787179,788233,openstack/glance-specs,openstack/glance_store
862346,862347,openstack/kolla,openstack/kolla-ansible
857933,859239,openstack/manila-tempest-plugin,openstack/manila
