Duration,Reviewer_sharing,Project_type
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
971.31,At least one,Source
2423.92,At least one,Source
121.75,At least one,Source
93.83,At least one,Source
4.02,At least one,Source
24.7,At least one,Source
971.31,At least one,Source
93.83,At least one,Source
93.83,At least one,Source
2507.5,At least one,Source
104.52,At least one,Source
263.18,At least one,Source
475.55,At least one,Source
93.83,At least one,Source
979.26,At least one,Source
195.86,At least one,Source
308.63,At least one,Source
67.16,At least one,Source
163.85,At least one,Source
44.31,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
211.7,At least one,Source
1568.08,At least one,Source
457.05,At least one,Source
418.13,At least one,Source
37.46,At least one,Source
457.05,At least one,Source
285.56,At least one,Source
217.85,At least one,Source
49.8,At least one,Source
195.86,At least one,Source
67.13,At least one,Source
148.78,At least one,Source
143.66,At least one,Source
46.96,At least one,Source
123.77,At least one,Source
88.38,At least one,Source
43.37,At least one,Source
123.77,At least one,Source
88.38,At least one,Source
43.37,At least one,Source
557.28,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
13.16,At least one,Source
45.84,At least one,Source
23.75,At least one,Source
7.0,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
115.05,At least one,Source
26.63,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
26.88,At least one,Source
148.78,At least one,Source
148.78,At least one,Source
143.66,At least one,Source
1232.66,At least one,Source
