Path,length,service_length
"['openstack/project-config', 'openstack/oslo.concurrency', 'openstack/oslo.concurrency']",2,2
"['openstack/tripleo-quickstart', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/openstacksdk', 'openstack/bifrost']",2,2
"['openstack/nova', 'openstack/tempest', 'openstack/glance', 'openstack/nova', 'openstack/nova']",3,3
"['openstack/charm-horizon-k8s', 'openstack/charm-nova-k8s', 'openstack/charm-cinder-k8s', 'openstack/charm-placement-k8s', 'openstack/charm-neutron-k8s', 'openstack/charm-keystone-k8s', 'openstack/charm-glance-k8s', 'openstack/charm-ops-sunbeam']",8,8
"['openstack/tripleo-ci', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/python-tripleoclient', 'openstack/python-tripleoclient', 'openstack/puppet-neutron', 'openstack/neutron']",5,3
"['openstack/election', 'openstack/governance']",2,2
"['openstack/election', 'openstack/releases']",2,2
"['openstack/tripleo-ci', 'openstack/openstack-tempest-skiplist', 'openstack/tempest']",3,2
"['openstack/python-tripleoclient', 'openstack/tripleo-common', 'openstack/tripleo-validations', 'openstack/openstack-ansible-os_tempest', 'openstack/ansible-role-python_venv_build', 'openstack/ansible-config_template', 'openstack/tripleo-validations', 'openstack/tripleo-ci', 'openstack/tripleo-ansible']",8,3
"['openstack/tripleo-quickstart-extras', 'openstack/puppet-ironic', 'openstack/puppet-ironic', 'openstack/puppet-ironic', 'openstack/puppet-ironic', 'openstack/tripleo-quickstart', 'openstack/puppet-ironic', 'openstack/puppet-ironic']",3,2
"['openstack/charm-neutron-k8s', 'openstack/charm-glance-k8s', 'openstack/charm-placement-k8s', 'openstack/charm-horizon-k8s', 'openstack/charm-nova-k8s', 'openstack/charm-cinder-k8s', 'openstack/charm-keystone-k8s', 'openstack/charm-ops-sunbeam']",8,8
"['openstack/ldappool', 'openstack/os-resource-classes', 'openstack/taskflow', 'openstack/os-testr', 'openstack/yaql', 'openstack/os-service-types', 'openstack/oslotest', 'openstack/openstack-doc-tools', 'openstack/tooz', 'openstack/sphinx-feature-classification', 'openstack/openstackclient', 'openstack/os-traits', 'openstack/debtcollector', 'openstack/oslo.concurrency', 'openstack/osprofiler', 'openstack/oslo.reports', 'openstack/oslo.log', 'openstack/futurist', 'openstack/oslo.i18n', 'openstack/whereto', 'openstack/os-api-ref', 'openstack/os-client-config', 'openstack/oslo.rootwrap', 'openstack/shade', 'openstack/reno', 'openstack/hacking', 'openstack/openstack-zuul-jobs']",27,10
"['openstack/tripleo-common', 'openstack/tripleo-ci', 'openstack/tripleo-quickstart', 'openstack/diskimage-builder', 'openstack/tripleo-quickstart']",4,2
"['openstack/ironic', 'openstack/ironic', 'openstack/placement', 'openstack/requirements', 'openstack/ironic', 'openstack/designate', 'openstack/manila', 'openstack/aodh', 'openstack/heat']",7,7
"['openstack/neutron', 'openstack/devstack']",2,2
"['openstack/puppet-tripleo', 'openstack/tooz', 'openstack/etcd3gw']",3,2
"['openstack/python-openstackclient', 'openstack/python-novaclient', 'openstack/nova']",3,2
