antecedent,consequent,supp,conf
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_tempest,6.695826993222149e-05,0.037418147801683815
openstack/tripleo-quickstart-extras,openstack/tripleo-common,0.0001841352423136091,0.03741496598639456
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_glance,6.528431318391596e-05,0.03724928366762178
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_tempest,6.528431318391596e-05,0.03724928366762178
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_designate,5.356661594577719e-05,0.037209302325581395
openstack/networking-bgpvpn,openstack/neutron,5.691452944238827e-05,0.037199124726477024
openstack/puppet-heat,openstack/puppet-cinder,5.021870244916612e-05,0.03717472118959108
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_tempest,6.695826993222149e-05,0.03663003663003663
openstack/openstack-ansible-tests,openstack/openstack-ansible-galera_server,6.361035643561042e-05,0.03629417382999045
openstack/puppet-ceilometer,openstack/puppet-neutron,5.189265919747166e-05,0.03617269544924154
openstack/tripleo-ci,openstack/tripleo-common,0.0002544414257424417,0.036010424070125564
openstack/kayobe,openstack/kolla-ansible,7.19801401771381e-05,0.035833333333333335
openstack/python-tripleoclient,openstack/tripleo-quickstart-extras,0.00016739567483055372,0.03572704537334762
openstack/puppet-neutron,openstack/tripleo-heat-templates,0.00010211136164663778,0.03511801957397812
openstack/tripleo-heat-templates,openstack/tripleo-ci,0.0006612129155806872,0.035008419746521316
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_swift,5.021870244916612e-05,0.03488372093023256
openstack/openstack-ansible-os_keystone,openstack/openstack-ansible-os_aodh,5.021870244916612e-05,0.03488372093023256
openstack/puppet-nova,openstack/puppet-openstack-integration,0.00011382905888477654,0.03446528129751647
openstack/openstack-ansible-tests,openstack/openstack-ansible-openstack_hosts,6.026244293899934e-05,0.034383954154727794
openstack/puppet-glance,openstack/puppet-nova,5.8588486190693806e-05,0.03434739941118744
openstack/aodh,openstack/ceilometer,5.8588486190693806e-05,0.034079844206426485
openstack/puppet-ironic,openstack/puppet-neutron,5.189265919747166e-05,0.03402854006586169
openstack/tripleo-quickstart-extras,openstack/python-tripleoclient,0.00016739567483055372,0.034013605442176874
openstack/puppet-glance,openstack/puppet-cinder,5.691452944238827e-05,0.033366045142296366
openstack/ironic-inspector,openstack/ironic,8.202388066697132e-05,0.033152909336941816
openstack/project-config,openstack/governance,0.0009524813897858508,0.032599977082617165
openstack/networking-midonet,openstack/neutron,7.030618342883256e-05,0.032583397982932506
openstack/instack-undercloud,openstack/tripleo-common,5.691452944238827e-05,0.03244274809160305
openstack/puppet-glance,openstack/puppet-keystone,5.524057269408273e-05,0.0323846908734053
openstack/tripleo-common,openstack/tripleo-quickstart-extras,0.0001841352423136091,0.031746031746031744
openstack/openstack-ansible-tests,openstack/openstack-ansible-os_cinder,5.524057269408273e-05,0.03151862464183381
openstack/puppet-glance,openstack/puppet-neutron,5.356661594577719e-05,0.03140333660451423
openstack/vitrage,openstack/vitrage-tempest-plugin,9.206762115680455e-05,0.03128555176336746
openstack/sahara-dashboard,openstack/horizon,5.021870244916612e-05,0.030800821355236138
openstack/puppet-glance,openstack/puppet-heat,5.189265919747166e-05,0.03042198233562316
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_heat,5.524057269408273e-05,0.03021978021978022
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_swift,5.524057269408273e-05,0.03021978021978022
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_heat,5.356661594577719e-05,0.029934518241347054
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_horizon,5.356661594577719e-05,0.029934518241347054
openstack/shade,openstack/openstacksdk,8.53717941635824e-05,0.029685681024447033
openstack/devstack,openstack/nova,0.00039337983585180125,0.029574628744022148
openstack/puppet-glance,openstack/puppet-openstack-integration,5.021870244916612e-05,0.029440628066732092
openstack/puppet-cinder,openstack/puppet-nova,6.026244293899934e-05,0.029411764705882353
openstack/puppet-neutron,openstack/puppet-openstack-integration,8.53717941635824e-05,0.02936096718480138
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_ironic,5.356661594577719e-05,0.029304029304029304
openstack/puppet-tripleo,openstack/tripleo-common,0.00013726445336105405,0.02926481084939329
openstack/tripleo-common,openstack/tripleo-ansible,0.00016739567483055372,0.02886002886002886
openstack/puppet-openstack-integration,openstack/puppet-nova,0.00011382905888477654,0.028523489932885907
openstack/tripleo-quickstart,openstack/tripleo-common,0.00014228632360597067,0.02839011356045424
openstack/openstack-ansible-os_nova,openstack/openstack-ansible-os_sahara,5.189265919747166e-05,0.028388278388278388
openstack/openstack-ansible-os_neutron,openstack/openstack-ansible-os_swift,5.021870244916612e-05,0.02806361085126286
openstack/puppet-cinder,openstack/puppet-glance,5.691452944238827e-05,0.027777777777777776
openstack/puppet-cinder,openstack/puppet-keystone,5.691452944238827e-05,0.027777777777777776
openstack/puppet-keystone,openstack/puppet-nova,6.361035643561042e-05,0.027716994894237783
openstack/python-cinderclient,openstack/cinder,7.365409692544365e-05,0.027707808564231738
openstack/tripleo-heat-templates,openstack/tripleo-ansible,0.0005206005487230221,0.02756359124346362
openstack/puppet-tripleo,openstack/tripleo-ci,0.00012889466961952636,0.027480371163454677
