Path,length,length_service
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tripleo-ci' 'openstack/tripleo-heat-templates'],2,1
['openstack/devstack' 'openstack/neutron-tempest-plugin'],2,2
['openstack/cinder' 'openstack/devstack-plugin-nfs'],2,2
['openstack/tripleo-ci'],1,1
['openstack/charm-cinder-backup-swift-proxy'],1,1
"['openstack/charm-swift-storage' 'openstack/charm-swift-proxy'
 'openstack/charm-rabbitmq-server' 'openstack/charm-placement']",4,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/cinder' 'openstack/tempest'],2,2
['openstack/heat'],1,1
['openstack/charm-keystone-k8s' 'openstack/charm-ops-sunbeam'],2,2
['openstack/ansible-collection-kolla' 'openstack/kolla-ansible'],2,1
['openstack/ec2-api' 'openstack/keystone'],2,2
"['openstack/ec2-api' 'openstack/openstack-zuul-jobs'
 'openstack/project-config']",3,2
['openstack/neutron' 'openstack/neutron-tempest-plugin'],2,1
['openstack/designate' 'openstack/grenade'],2,2
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'
 'openstack/tripleo-common' 'openstack/tripleo-ansible']",4,1
"['openstack/cinder-tempest-plugin' 'openstack/cinder'
 'openstack/python-cinderclient' 'openstack/tempest' 'openstack/devstack'
 'openstack/barbican']",6,4
"['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'
 'openstack/puppet-ironic' 'openstack/puppet-tripleo']",4,2
"['openstack/cinder-tempest-plugin' 'openstack/cinder'
 'openstack/devstack-plugin-nfs']",3,2
['openstack/cinder'],1,1
['openstack/tripleo-ci' 'openstack/tripleo-heat-templates'],2,1
"['openstack/charm-neutron-k8s' 'openstack/charm-horizon-k8s'
 'openstack/charm-glance-k8s' 'openstack/charm-nova-k8s'
 'openstack/charm-cinder-k8s' 'openstack/charm-keystone-k8s'
 'openstack/charm-cinder-ceph-k8s' 'openstack/charm-ops-sunbeam']",8,7
['openstack/cinder' 'openstack/oslo.log'],2,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/charm-designate-bind' 'openstack/charm-designate'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/manila-tempest-plugin' 'openstack/manila'],2,1
['openstack/kayobe-config-dev' 'openstack/kayobe'],2,1
['openstack/openstacksdk' 'openstack/nova'],2,2
['openstack/cinder' 'openstack/cinder-tempest-plugin'],2,1
"['openstack/tripleo-upgrade' 'openstack/tripleo-quickstart'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-ci']",4,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/charm-ceph-dashboard' 'openstack/charms.ceph'],2,1
