Path,length,all_abandoned,is_cross,lag,is_cross_service,Path_merged,length_merged
"[827560, 846123, 847276, 850478, 845998, 847992, 847993, 845917, 848063]",9,False,Cross,4018.5,Cross,"[847993, 846123, 850478, 847992, 847276, 845917, 845998, 827560]",8
"[851384, 851705, 851516]",3,False,Cross,0.05,Same,"[851384, 851516]",2
"[827141, 827142, 827145, 827146, 827147, 827148, 827149, 827150, 732175, 782736, 782737, 776210, 732174, 782741, 733719, 733720, 782753, 782759, 782763, 782765, 782770, 782772, 782773, 768060, 768061, 768062, 768063, 777569, 813794, 813793]",30,False,Cross,14619.46,Cross,"[827146, 827145, 827148, 827147, 827142, 827141, 813794, 813793, 782772, 768060, 782753, 782773, 782770, 782741, 782737, 782736, 768063, 768061, 782765, 782763, 782759, 777569, 776210, 768062, 733720, 733719, 732175, 732174]",28
"[851244, 849133, 851231]",3,False,Cross,453.15,Same,"[851231, 849133]",2
"[855840, 846838, 846807]",3,False,Cross,1826.18,Cross,"[855840, 846807, 846838]",3
"[849145, 850306]",2,False,Cross,254.51,Same,"[849145, 850306]",2
"[851920, 851018, 851213, 850943]",4,False,Cross,189.9,Same,"[851920, 851018, 851213, 850943]",4
"[504537, 618908, 509655]",3,False,Cross,455.04,Cross,"[504537, 509655]",2
"[851500, 851501]",2,False,Cross,0.04,Cross,"[851501, 851500]",2
"[851196, 851549]",2,False,Cross,117.83,Cross,"[851196, 851549]",2
