reviewer,service,rev_status
13151,3,Non core
13152,1,Non core
13154,1,Non core
13156,1,Non core
13157,5,Non core
13158,3,Non core
13161,11,Non core
13167,3,Non core
13169,1,Non core
13173,3,Non core
13176,5,Non core
13177,12,Non core
13178,6,Non core
13187,1,Non core
13192,11,Core
13196,1,Non core
13197,1,Non core
13201,1,Non core
13203,4,Non core
13206,2,Non core
13207,1,Non core
13208,1,Non core
13215,1,Non core
13217,1,Non core
13227,5,Non core
13229,3,Non core
13242,1,Non core
13248,8,Non core
13252,37,Core
13258,3,Non core
13263,1,Non core
13264,1,Non core
13266,1,Non core
13268,1,Non core
13273,4,Non core
13276,1,Non core
13278,1,Non core
13279,1,Non core
13289,7,Non core
13290,12,Non core
13291,1,Non core
13294,25,Core
13295,4,Non core
13297,1,Non core
13300,5,Non core
13306,1,Non core
13308,5,Non core
13309,1,Non core
13318,2,Non core
13320,2,Non core
13323,8,Non core
13325,4,Non core
13334,2,Non core
13340,15,Non core
13341,1,Non core
13342,2,Non core
13343,2,Non core
13344,2,Non core
13350,1,Non core
13352,2,Non core
13353,1,Non core
13354,1,Non core
13355,3,Non core
13356,1,Non core
13358,1,Non core
13360,1,Non core
13362,9,Core
13367,1,Non core
13370,4,Non core
13372,7,Non core
13375,1,Non core
13376,1,Non core
13377,3,Non core
13380,11,Core
13383,1,Non core
13386,2,Non core
13390,1,Non core
13397,1,Non core
13401,1,Non core
13404,22,Non core
13409,8,Non core
13413,2,Non core
13420,6,Non core
13425,9,Core
13426,4,Non core
13431,8,Non core
13438,9,Non core
13447,5,Non core
13454,4,Non core
13456,1,Non core
13458,7,Non core
13461,2,Non core
13463,3,Non core
13466,1,Non core
13470,2,Non core
13471,1,Non core
13474,1,Non core
13478,15,Non core
13481,1,Non core
13484,3,Non core
13485,5,Non core
13497,1,Non core
13498,1,Non core
13499,9,Non core
13505,1,Non core
13507,3,Non core
13510,1,Non core
13511,3,Non core
13515,1,Non core
13518,2,Non core
13520,2,Non core
13523,1,Non core
13524,2,Non core
13525,3,Non core
13527,6,Non core
13530,1,Non core
13535,1,Non core
13537,3,Non core
13539,2,Non core
13540,1,Non core
13546,2,Non core
13547,1,Non core
13552,1,Non core
13553,1,Non core
13555,3,Non core
13557,3,Non core
13560,8,Non core
13562,6,Non core
13564,3,Non core
13575,1,Non core
13581,1,Non core
13582,1,Non core
13587,1,Non core
13595,3,Non core
13604,2,Non core
13606,1,Non core
13608,1,Non core
13609,4,Non core
13623,1,Non core
13629,10,Core
13630,6,Non core
13634,1,Non core
13635,5,Non core
13636,14,Non core
13637,12,Core
13641,1,Non core
13642,4,Non core
13649,1,Non core
13655,1,Non core
13658,1,Non core
13660,4,Non core
13661,1,Non core
13662,3,Non core
13663,1,Non core
13664,5,Non core
13665,2,Non core
13667,4,Non core
13670,9,Non core
13671,10,Non core
13686,25,Non core
13689,7,Non core
13692,13,Core
13693,2,Non core
13697,2,Non core
13702,29,Core
13705,3,Non core
13708,1,Non core
13715,1,Non core
13717,6,Non core
13719,9,Non core
13720,4,Non core
13721,1,Non core
13728,1,Non core
13729,1,Non core
13734,12,Core
13737,1,Non core
13741,2,Non core
13744,1,Non core
13747,6,Non core
13752,5,Non core
13753,3,Non core
13761,1,Non core
13762,3,Non core
13768,2,Non core
13770,6,Core
13771,3,Non core
13777,7,Non core
13781,3,Core
13784,2,Non core
13785,5,Non core
13790,6,Non core
13792,1,Non core
13801,1,Non core
13805,4,Non core
13807,4,Non core
13809,2,Non core
13814,1,Non core
13816,2,Non core
13817,2,Non core
13818,1,Non core
13819,1,Non core
13826,1,Non core
13832,1,Non core
13833,1,Non core
13840,1,Non core
13852,1,Non core
13861,36,Core
13864,1,Non core
13866,1,Non core
13868,2,Non core
13869,3,Non core
13873,1,Non core
13875,1,Non core
13878,1,Non core
13883,8,Non core
13895,1,Non core
13900,15,Non core
13906,1,Non core
13908,2,Non core
13909,2,Non core
13912,8,Non core
13914,3,Non core
13915,7,Non core
13919,12,Non core
13923,2,Non core
13925,1,Non core
13926,2,Non core
13931,1,Non core
13933,5,Non core
13938,1,Non core
13940,7,Core
13943,1,Non core
13948,2,Non core
13949,1,Non core
13950,1,Non core
13953,8,Non core
13961,1,Non core
13962,13,Core
13963,2,Non core
13966,1,Non core
13968,1,Non core
13976,1,Non core
13979,5,Non core
13984,1,Non core
13988,5,Non core
13995,26,Core
13997,28,Non core
13998,15,Non core
14000,3,Non core
14003,1,Non core
14005,3,Non core
14007,3,Non core
14010,19,Non core
14014,3,Non core
14018,1,Non core
14021,2,Non core
14024,1,Non core
14025,3,Non core
14026,1,Non core
14027,14,Non core
14028,1,Non core
14029,2,Non core
14030,1,Non core
14033,10,Non core
14036,1,Non core
14037,1,Non core
14039,7,Non core
14045,1,Non core
14046,14,Non core
14049,2,Non core
14051,2,Non core
14059,1,Non core
14063,2,Non core
14064,4,Non core
14070,27,Core
14071,1,Non core
14075,1,Non core
14078,1,Non core
14082,8,Non core
14084,25,Non core
14088,1,Non core
14091,4,Core
14095,1,Non core
14101,29,Core
14102,13,Non core
14103,19,Non core
14104,2,Non core
14105,1,Non core
14107,36,Core
14109,1,Non core
14118,1,Non core
14119,16,Core
14121,1,Non core
14123,10,Non core
14124,7,Core
14131,8,Core
14132,1,Non core
14135,1,Non core
14138,1,Non core
14151,37,Non core
14154,2,Non core
14158,1,Non core
14159,2,Non core
14162,7,Non core
14164,1,Non core
14165,1,Non core
14168,6,Non core
14173,4,Non core
14174,1,Non core
14176,1,Non core
14180,1,Non core
14186,1,Non core
14195,1,Non core
14200,18,Core
14202,1,Non core
14203,11,Core
14211,1,Non core
14215,1,Non core
14216,1,Non core
14226,1,Non core
14227,1,Non core
14228,4,Non core
14229,1,Non core
14230,1,Non core
14232,8,Non core
14237,3,Non core
14238,1,Non core
14241,1,Non core
14248,2,Non core
14249,2,Non core
14250,20,Core
14252,1,Non core
14253,1,Non core
14257,8,Non core
14258,2,Non core
14265,3,Non core
14266,1,Non core
14269,1,Non core
14270,2,Non core
14271,13,Non core
14272,1,Non core
14273,5,Non core
14274,4,Non core
14277,2,Non core
14283,1,Non core
14287,9,Non core
14288,34,Core
14296,1,Non core
14303,1,Non core
14305,6,Non core
14307,7,Non core
14310,1,Non core
14313,1,Non core
14314,1,Non core
14316,3,Non core
14318,7,Non core
14320,22,Non core
14322,1,Non core
14323,1,Non core
14331,1,Non core
14339,3,Non core
14340,4,Core
14345,2,Non core
14347,3,Non core
14352,14,Core
14355,1,Non core
14356,2,Non core
14358,8,Non core
14360,2,Non core
14363,4,Non core
14365,1,Non core
14369,3,Non core
14372,4,Core
14374,13,Non core
14375,1,Non core
14377,3,Non core
14379,11,Non core
14387,1,Non core
14394,4,Core
14396,5,Non core
14398,1,Non core
14413,2,Non core
14420,1,Non core
14421,2,Non core
14425,1,Non core
14427,1,Non core
14428,8,Non core
14439,3,Non core
14440,1,Non core
14445,2,Non core
14447,4,Non core
14448,1,Non core
14455,4,Non core
14457,1,Non core
14468,1,Non core
14473,2,Non core
14475,1,Non core
14482,22,Core
14484,1,Non core
14485,2,Non core
14486,1,Non core
14489,3,Non core
14490,1,Non core
14495,6,Non core
14496,3,Non core
14508,1,Non core
14509,8,Core
14510,14,Non core
14511,9,Non core
14513,1,Non core
14517,4,Non core
14522,1,Non core
14525,18,Core
14532,3,Non core
14535,4,Non core
14536,3,Non core
14538,3,Non core
14539,1,Non core
14540,2,Non core
14551,3,Non core
14552,4,Non core
14554,1,Non core
14556,5,Non core
14562,3,Non core
14565,1,Non core
14567,21,Non core
14570,7,Non core
14573,2,Non core
14575,1,Non core
14576,3,Non core
14577,2,Non core
14578,4,Non core
14581,2,Core
14589,1,Non core
14591,6,Non core
14593,1,Non core
14594,4,Non core
14598,3,Non core
14605,9,Core
14606,2,Non core
14608,1,Non core
14609,1,Non core
14610,1,Non core
14611,16,Non core
14613,1,Non core
14614,17,Non core
14615,6,Non core
14619,16,Non core
14620,2,Non core
14624,9,Non core
14626,1,Non core
14629,1,Non core
14643,11,Non core
14648,2,Non core
14649,1,Non core
14652,1,Non core
14653,1,Non core
14655,1,Non core
14664,2,Non core
14668,1,Non core
14672,1,Non core
14674,2,Non core
14675,8,Non core
14676,13,Non core
14680,4,Non core
14683,1,Non core
14687,2,Non core
14689,1,Non core
14691,2,Non core
14692,3,Non core
14700,2,Non core
14702,1,Non core
14709,1,Non core
14711,1,Non core
14725,1,Non core
14726,1,Non core
14732,1,Non core
14743,6,Non core
14744,3,Non core
14749,11,Non core
14753,1,Non core
14754,1,Non core
14757,6,Non core
14758,5,Non core
14760,15,Non core
14762,2,Non core
14764,6,Non core
14766,2,Non core
14768,3,Non core
14770,1,Non core
14771,1,Non core
14777,1,Non core
14779,1,Non core
14786,1,Non core
14790,5,Core
14791,1,Non core
14792,1,Non core
14794,2,Non core
14798,1,Non core
14802,1,Non core
14805,8,Non core
14806,5,Core
14807,9,Non core
14810,4,Non core
14813,1,Non core
14815,1,Non core
14817,2,Non core
14819,6,Non core
14823,2,Non core
14824,2,Non core
14826,23,Core
14829,2,Non core
14831,4,Non core
14838,2,Non core
14844,4,Non core
14852,4,Non core
14853,1,Non core
14863,3,Non core
14864,1,Non core
14865,5,Non core
14867,28,Non core
14878,1,Non core
14884,3,Non core
14885,20,Core
14886,4,Non core
14887,1,Non core
14888,3,Non core
14889,1,Non core
14890,2,Non core
14891,2,Non core
14892,13,Non core
14907,4,Non core
14908,9,Non core
14910,1,Non core
14912,1,Non core
14914,5,Non core
14917,1,Non core
14920,7,Non core
14923,5,Non core
14926,7,Non core
14927,3,Non core
14937,11,Non core
14943,4,Non core
14946,2,Non core
14947,9,Non core
14948,2,Non core
14957,3,Non core
14962,9,Non core
14963,3,Non core
14965,1,Non core
14966,10,Non core
14967,10,Non core
14971,2,Non core
14972,3,Non core
14973,2,Non core
14981,3,Non core
14985,26,Core
14991,1,Non core
15000,2,Non core
15002,1,Non core
15007,13,Core
15011,2,Non core
15012,1,Non core
15019,1,Non core
15022,10,Non core
15025,6,Non core
15027,3,Non core
15029,1,Non core
15041,1,Non core
15042,1,Non core
15054,18,Core
15057,1,Non core
15062,4,Non core
15064,2,Non core
15068,2,Non core
15069,3,Non core
15070,4,Non core
15074,1,Non core
15075,1,Non core
15077,1,Non core
15081,1,Non core
15083,1,Non core
15089,1,Non core
15090,13,Non core
15093,1,Non core
15095,1,Non core
15100,11,Non core
15101,3,Non core
15111,1,Non core
15112,1,Non core
15121,1,Non core
15122,8,Non core
15123,8,Non core
15125,1,Non core
15129,1,Non core
15130,7,Non core
15132,1,Non core
15140,2,Non core
15149,1,Non core
15152,1,Non core
15165,1,Non core
15168,14,Core
15171,2,Non core
15177,1,Non core
15178,4,Non core
15182,1,Non core
15184,2,Non core
15192,5,Non core
15197,34,Core
15205,2,Non core
15206,4,Non core
15209,6,Non core
15210,1,Non core
15212,2,Non core
15222,1,Non core
15225,4,Non core
15226,7,Non core
15232,1,Core
15233,1,Non core
15237,4,Non core
15241,1,Non core
15248,6,Non core
15252,1,Non core
15254,3,Non core
15258,1,Non core
15259,2,Core
15265,1,Non core
15274,2,Non core
15279,4,Non core
15280,1,Non core
15285,1,Non core
15287,2,Non core
15288,1,Non core
15289,1,Non core
15293,5,Core
15294,1,Non core
15307,12,Non core
15309,14,Non core
15311,5,Non core
15312,1,Non core
15313,2,Non core
15315,2,Non core
15321,3,Non core
15326,2,Non core
15330,1,Non core
15333,5,Non core
15334,40,Core
15335,4,Non core
15337,2,Non core
15342,3,Non core
15343,19,Core
15346,1,Core
15353,5,Non core
15356,1,Non core
15358,2,Non core
15359,7,Non core
15361,2,Non core
15362,3,Non core
15369,2,Non core
15371,8,Non core
15372,1,Non core
15373,3,Non core
15376,1,Non core
15382,5,Non core
15383,2,Non core
15388,2,Non core
15392,3,Non core
15396,1,Non core
15409,1,Non core
15424,9,Non core
15425,3,Non core
15426,5,Non core
15427,5,Non core
15429,5,Non core
15434,1,Non core
15435,1,Non core
15439,2,Non core
15446,1,Non core
15447,5,Non core
15452,1,Non core
15456,1,Non core
15465,1,Non core
15470,3,Non core
15471,19,Non core
15478,1,Non core
15482,16,Non core
15484,2,Non core
15486,1,Non core
15487,1,Non core
15488,2,Non core
15492,5,Non core
15494,1,Non core
15501,2,Non core
15502,2,Non core
15506,1,Non core
15511,1,Non core
15513,3,Non core
15514,1,Non core
15515,6,Core
15518,3,Non core
15519,17,Core
15524,19,Non core
15526,2,Non core
15527,3,Non core
15530,1,Non core
15536,1,Non core
15540,1,Non core
15547,2,Non core
15550,1,Non core
15553,1,Non core
15554,14,Non core
15556,2,Non core
15598,1,Non core
15637,8,Non core
15639,1,Non core
15640,7,Non core
15641,1,Non core
15642,4,Non core
15644,2,Non core
15648,3,Non core
15653,1,Non core
15672,5,Non core
15674,6,Non core
15675,2,Non core
15685,23,Non core
15692,3,Non core
15697,2,Non core
15699,24,Non core
15701,5,Non core
15727,2,Non core
15729,1,Non core
15736,7,Non core
15739,4,Non core
15741,2,Non core
15742,13,Non core
15750,7,Non core
15755,9,Non core
15761,1,Non core
15762,1,Non core
15763,1,Non core
15764,1,Non core
15769,2,Non core
15778,1,Non core
15784,6,Non core
15787,1,Non core
15792,2,Non core
15799,4,Non core
15804,3,Non core
15810,1,Non core
15815,1,Non core
15816,3,Non core
15818,1,Non core
15822,2,Non core
15823,3,Non core
15825,7,Non core
15830,3,Non core
15831,2,Non core
15832,2,Non core
15834,4,Non core
15843,1,Non core
15847,5,Non core
15852,1,Non core
15854,1,Non core
15857,8,Core
15862,1,Non core
15867,1,Non core
15881,5,Non core
15882,6,Non core
15888,21,Non core
15890,1,Non core
15894,1,Non core
15895,8,Core
15903,3,Non core
15904,2,Non core
15905,36,Core
15907,4,Non core
15910,2,Non core
15914,1,Non core
15917,11,Non core
15920,1,Non core
15921,2,Non core
15922,3,Non core
15926,1,Non core
15929,1,Non core
15932,3,Non core
15934,2,Non core
15935,2,Non core
15944,1,Non core
15950,7,Non core
15952,2,Non core
15961,5,Non core
15966,1,Non core
15967,7,Non core
15984,2,Core
15989,1,Non core
15993,18,Core
16001,1,Non core
16002,3,Non core
16003,1,Non core
16006,21,Non core
16010,1,Non core
16011,7,Core
16012,2,Non core
16022,1,Non core
16027,3,Non core
16034,25,Non core
16036,2,Non core
16039,2,Non core
16046,6,Non core
16047,5,Non core
16049,5,Non core
16051,24,Non core
16053,2,Non core
16054,4,Non core
16059,1,Non core
16062,1,Non core
16064,3,Non core
16066,10,Non core
16068,3,Non core
16069,3,Core
16077,1,Non core
16095,1,Non core
16097,1,Non core
16100,1,Non core
16109,1,Non core
16110,1,Non core
16115,1,Non core
16116,1,Non core
16121,1,Non core
16124,1,Non core
16129,1,Non core
16132,1,Non core
16137,20,Core
16139,1,Non core
16142,1,Non core
16150,8,Non core
16157,4,Non core
16164,1,Non core
16165,1,Non core
16168,11,Non core
16170,1,Non core
16171,2,Non core
16172,2,Non core
16173,1,Non core
16174,1,Non core
16177,1,Non core
16183,1,Non core
16186,1,Non core
16190,2,Non core
16197,4,Non core
16198,12,Non core
16203,6,Non core
16204,2,Non core
16206,6,Non core
16207,1,Non core
16208,3,Non core
16211,3,Non core
16212,6,Non core
16222,20,Core
16226,4,Non core
16233,6,Non core
16234,4,Non core
16237,50,Non core
16242,2,Non core
16244,1,Non core
16246,4,Non core
16249,3,Non core
16251,1,Non core
16253,1,Non core
16257,1,Non core
16258,4,Non core
16259,1,Non core
16264,2,Non core
16268,1,Non core
16270,1,Non core
16272,45,Non core
16273,2,Non core
16274,6,Core
16277,13,Core
16278,2,Non core
16282,23,Non core
16289,5,Non core
16292,3,Non core
16297,6,Non core
16305,4,Non core
16308,10,Non core
16310,4,Core
16311,1,Non core
16312,35,Core
16318,4,Non core
16322,1,Non core
16330,2,Non core
16339,6,Non core
16347,2,Non core
16351,2,Non core
16352,34,Core
16353,4,Non core
16356,2,Non core
16358,8,Non core
16363,3,Non core
16365,3,Non core
16367,7,Non core
16373,1,Non core
16374,1,Non core
16381,1,Non core
16382,1,Non core
16385,3,Non core
16389,1,Non core
16392,2,Non core
16412,3,Non core
16414,1,Non core
16419,4,Non core
16421,5,Non core
16425,2,Non core
16426,1,Non core
16428,1,Non core
16429,1,Non core
16433,2,Non core
16436,1,Non core
16437,6,Non core
16439,1,Non core
16448,7,Non core
16451,1,Non core
16452,1,Non core
16460,2,Non core
16463,1,Non core
16465,11,Core
16476,2,Non core
16477,1,Non core
16479,6,Non core
16481,1,Non core
16482,3,Non core
16489,1,Non core
16493,1,Non core
16495,5,Non core
16501,2,Non core
16502,2,Non core
16511,7,Core
16513,2,Non core
16515,8,Non core
16518,4,Non core
16520,2,Core
16522,3,Non core
16523,23,Non core
16530,3,Non core
16531,1,Non core
16532,2,Non core
16540,1,Non core
16544,1,Non core
16550,2,Non core
16551,4,Core
16553,4,Non core
16557,1,Non core
16558,3,Non core
16561,1,Non core
16572,1,Non core
16574,2,Non core
16575,1,Non core
16580,1,Non core
16586,2,Non core
16590,3,Non core
16592,2,Non core
16615,7,Non core
16618,5,Non core
16620,3,Non core
16625,3,Non core
16627,3,Non core
16628,11,Core
16631,1,Non core
16635,4,Non core
16643,20,Core
16646,3,Non core
16649,2,Non core
16652,2,Non core
16658,3,Non core
16659,1,Non core
16666,1,Non core
16668,1,Non core
16670,1,Non core
16679,7,Non core
16683,7,Non core
16686,1,Non core
16687,4,Non core
16688,23,Core
16690,9,Non core
16693,1,Non core
16701,3,Non core
16702,1,Non core
16703,1,Non core
16704,2,Non core
16707,17,Non core
16708,27,Core
16710,10,Non core
16713,1,Non core
16721,1,Non core
16754,1,Non core
16759,2,Non core
16760,2,Non core
16768,4,Core
16769,4,Non core
16770,1,Non core
16771,5,Non core
16774,7,Non core
16781,2,Non core
16788,13,Core
16793,2,Non core
16794,4,Non core
16796,1,Non core
16797,4,Non core
16799,2,Non core
16800,5,Non core
16801,2,Non core
16803,21,Non core
16806,1,Non core
16814,2,Non core
16821,1,Non core
16831,1,Non core
16832,2,Non core
16839,4,Non core
16840,2,Non core
16844,1,Non core
16845,6,Non core
16853,1,Non core
16871,23,Non core
16877,1,Non core
16881,7,Non core
16883,2,Non core
16888,1,Non core
16895,1,Non core
16896,36,Non core
16901,1,Non core
16907,10,Non core
16908,1,Non core
16910,2,Non core
16914,2,Non core
16917,5,Non core
16924,1,Non core
16927,2,Non core
16929,7,Non core
16934,4,Non core
16935,7,Non core
16939,3,Non core
16949,3,Non core
16953,3,Non core
16957,2,Non core
16958,3,Non core
16960,1,Non core
16962,1,Non core
16963,6,Non core
16964,3,Non core
16965,1,Non core
16973,3,Non core
16975,1,Non core
16979,1,Non core
16982,4,Non core
16983,2,Non core
16984,7,Core
16986,20,Non core
16987,1,Non core
16989,1,Non core
16990,1,Non core
16991,4,Non core
16993,3,Non core
16994,1,Non core
16997,1,Non core
16999,1,Non core
17001,6,Core
17002,1,Non core
17004,1,Non core
17005,1,Non core
17013,3,Non core
17019,6,Non core
17021,1,Non core
17026,2,Non core
17030,1,Non core
17031,2,Non core
17033,3,Non core
17034,2,Non core
17035,1,Non core
17036,1,Non core
17038,1,Non core
17041,1,Non core
17042,2,Non core
17043,8,Non core
17044,2,Non core
17045,1,Non core
17054,1,Non core
17056,1,Non core
17058,1,Non core
17063,1,Non core
17068,31,Core
17070,1,Non core
17073,1,Non core
17081,12,Non core
17089,5,Non core
17090,2,Non core
17097,8,Non core
17098,2,Non core
17101,1,Non core
17104,10,Non core
17107,1,Non core
17108,20,Non core
17109,2,Non core
17114,1,Non core
17116,6,Non core
17119,3,Non core
17120,16,Core
17123,8,Non core
17126,2,Non core
17130,56,Non core
17133,1,Non core
17135,1,Non core
17136,1,Non core
17139,4,Non core
17144,1,Non core
17147,1,Non core
17150,1,Non core
17151,8,Core
17156,2,Core
17160,8,Non core
17166,1,Non core
17168,1,Non core
17169,4,Non core
17172,8,Non core
17175,2,Non core
17177,1,Non core
17179,1,Non core
17186,1,Non core
17190,2,Non core
17192,5,Non core
17202,1,Non core
17207,20,Non core
17208,1,Non core
17211,18,Non core
17215,1,Non core
17216,10,Non core
17217,1,Non core
17218,6,Non core
17222,1,Non core
17224,1,Non core
17225,14,Non core
17227,1,Non core
17236,1,Non core
17243,1,Non core
17244,2,Non core
17245,1,Non core
17248,1,Non core
17254,4,Non core
17255,8,Core
17256,3,Non core
17257,1,Non core
17261,7,Non core
17264,3,Non core
17265,1,Non core
17268,2,Non core
17270,9,Non core
17272,1,Non core
17274,2,Non core
17275,12,Non core
17276,1,Non core
17277,3,Non core
17280,8,Non core
17281,1,Non core
17285,3,Non core
17287,1,Non core
17288,1,Non core
17289,3,Non core
17292,6,Non core
17293,2,Non core
17303,1,Non core
17305,1,Non core
17321,1,Non core
17327,1,Non core
17331,2,Non core
17332,1,Non core
17333,1,Non core
17352,3,Non core
17354,1,Non core
17357,2,Non core
17360,2,Non core
17361,3,Non core
17362,1,Non core
17363,2,Core
17368,2,Non core
17372,1,Non core
17377,4,Non core
17386,6,Core
17390,1,Non core
17391,1,Non core
17392,1,Non core
17399,3,Non core
17405,2,Non core
17409,1,Non core
17412,1,Non core
17419,4,Non core
17425,4,Non core
17430,3,Non core
17435,1,Non core
17436,2,Non core
17438,1,Non core
17440,1,Non core
17444,2,Non core
17445,13,Non core
17448,1,Core
17450,2,Non core
17453,1,Non core
17455,3,Non core
17456,3,Non core
17457,1,Non core
17465,1,Non core
17476,4,Non core
17478,1,Non core
17480,1,Non core
17481,1,Non core
17487,1,Non core
17488,2,Non core
17491,16,Non core
17499,52,Non core
17503,2,Non core
17505,7,Core
17510,1,Non core
17511,1,Non core
17517,3,Non core
17523,1,Non core
17525,1,Non core
17527,3,Non core
17532,1,Non core
17535,1,Non core
17536,2,Non core
17540,1,Non core
17549,8,Non core
17550,1,Non core
17551,3,Non core
17553,1,Non core
17555,5,Non core
17556,4,Core
17558,4,Core
17559,1,Non core
17564,1,Non core
17565,2,Non core
17566,1,Core
17570,2,Non core
17571,1,Non core
17579,7,Non core
17588,7,Non core
17589,23,Non core
17591,27,Core
17592,2,Non core
17593,1,Non core
17595,1,Non core
17599,3,Non core
17609,2,Non core
17627,2,Non core
17628,1,Non core
17630,2,Non core
17637,1,Non core
17638,3,Non core
17639,6,Non core
17641,2,Non core
17642,5,Non core
17643,6,Non core
17645,28,Non core
17654,3,Non core
17656,8,Non core
17659,2,Non core
17660,1,Non core
17669,7,Core
17671,4,Non core
17681,1,Non core
17682,1,Non core
17685,48,Non core
17686,2,Non core
17688,1,Non core
17699,1,Non core
17700,2,Non core
17705,2,Non core
17709,2,Core
17710,2,Non core
17711,11,Non core
17714,3,Non core
17716,11,Non core
17717,2,Non core
17718,2,Non core
17720,2,Non core
17722,7,Non core
17728,1,Non core
17730,2,Non core
17731,1,Non core
17734,4,Non core
17735,2,Non core
17739,1,Non core
17742,2,Non core
17746,1,Non core
17752,2,Non core
17753,2,Non core
17755,1,Non core
17765,15,Core
17768,1,Non core
17771,2,Non core
17775,1,Non core
17776,36,Non core
17780,5,Non core
17782,2,Non core
17784,7,Core
17787,1,Non core
17788,3,Non core
17789,18,Non core
17795,9,Non core
17796,2,Non core
17799,8,Core
17800,1,Non core
17812,5,Non core
17813,8,Core
17814,7,Non core
17815,1,Non core
17821,5,Non core
17822,1,Non core
17823,6,Non core
17826,1,Non core
17828,1,Non core
17832,3,Non core
17836,2,Non core
17842,11,Non core
17843,4,Non core
17844,3,Non core
17845,4,Non core
17846,6,Non core
17848,6,Non core
17850,2,Non core
17854,2,Non core
17858,3,Non core
17860,11,Non core
17862,2,Non core
17863,1,Non core
17866,1,Non core
17869,1,Non core
17874,1,Non core
17880,4,Core
17881,1,Non core
17883,1,Non core
17884,1,Non core
17885,1,Non core
17886,2,Non core
17887,10,Non core
17888,4,Non core
17893,13,Core
17896,9,Core
17898,3,Non core
17899,1,Non core
17900,1,Non core
17901,2,Non core
17904,4,Non core
17907,1,Non core
17909,1,Non core
17920,10,Non core
17922,8,Non core
17924,5,Non core
17927,4,Non core
17934,1,Non core
17938,1,Non core
17943,1,Non core
17947,1,Non core
17948,1,Non core
17950,1,Non core
17952,1,Non core
17953,2,Non core
17954,5,Non core
17958,3,Non core
17959,1,Non core
17963,1,Non core
17966,3,Non core
17969,1,Non core
17973,8,Non core
17976,3,Non core
17981,2,Non core
17987,1,Non core
17988,1,Non core
17989,1,Non core
17990,3,Non core
17995,2,Non core
18002,14,Non core
18005,2,Non core
18008,2,Non core
18009,9,Non core
18010,1,Non core
18014,1,Core
18015,3,Non core
18019,1,Non core
18020,1,Non core
18023,1,Non core
18026,3,Non core
18028,2,Non core
18031,5,Non core
18034,1,Non core
18044,1,Non core
18045,1,Non core
18050,1,Non core
18051,8,Non core
18058,5,Non core
18061,1,Non core
18063,3,Core
18073,1,Non core
18084,1,Non core
18085,5,Non core
18086,3,Non core
18087,1,Non core
18090,1,Non core
18092,10,Core
18094,1,Non core
18102,1,Non core
18108,4,Non core
18115,3,Non core
18117,1,Non core
18118,1,Non core
18128,1,Non core
18137,12,Non core
18142,7,Non core
18152,3,Non core
18158,2,Non core
18160,1,Non core
18170,1,Non core
18176,1,Non core
18177,1,Non core
18179,4,Non core
18180,1,Non core
18182,2,Non core
18186,2,Non core
18190,1,Non core
18199,2,Non core
18204,3,Non core
18205,1,Core
18206,1,Non core
18213,3,Non core
18217,1,Non core
18220,1,Non core
18222,1,Non core
18225,4,Non core
18235,1,Non core
18236,6,Non core
18238,13,Non core
18242,7,Core
18247,3,Non core
18250,7,Core
18254,1,Non core
18256,7,Non core
18258,3,Non core
18259,2,Non core
18261,4,Non core
18263,1,Non core
18265,13,Non core
18266,4,Non core
18272,1,Non core
18276,1,Non core
18279,9,Non core
18286,3,Non core
18288,1,Non core
18289,2,Non core
18290,1,Non core
18295,1,Non core
18306,2,Non core
18311,1,Non core
18320,22,Non core
18321,3,Non core
18323,1,Non core
18324,7,Non core
18325,1,Non core
18328,1,Non core
18332,14,Non core
18334,3,Non core
18335,2,Non core
18336,5,Non core
18337,4,Non core
18338,6,Non core
18339,4,Non core
18343,2,Non core
18347,1,Non core
18350,1,Non core
18354,1,Non core
18358,2,Non core
18364,1,Non core
18366,1,Non core
18368,5,Non core
18369,2,Non core
18372,1,Non core
18378,1,Non core
18384,1,Non core
18386,2,Non core
18389,5,Non core
18390,5,Non core
18399,1,Non core
18401,1,Non core
18404,4,Non core
18405,1,Non core
18406,1,Non core
18409,3,Non core
18414,5,Non core
18416,3,Non core
18418,11,Core
18425,1,Non core
18429,1,Non core
18438,4,Non core
18439,1,Non core
18446,2,Core
18448,2,Non core
18452,2,Non core
18453,9,Non core
18457,1,Non core
18460,4,Non core
18462,42,Core
18464,11,Non core
18465,1,Non core
18466,10,Non core
18476,4,Non core
18479,3,Non core
18480,2,Non core
18485,2,Non core
18494,8,Non core
18498,1,Non core
18503,1,Non core
18508,1,Non core
18511,15,Non core
18523,2,Non core
18524,1,Non core
18526,1,Non core
18529,4,Non core
18538,3,Non core
18540,3,Non core
18545,1,Non core
18546,23,Non core
18549,3,Non core
18551,10,Non core
18552,5,Non core
18573,9,Non core
18575,8,Non core
18582,2,Non core
18588,1,Non core
18589,1,Non core
18591,10,Core
18593,1,Non core
18595,3,Non core
18596,1,Non core
18598,7,Non core
18600,12,Non core
18602,35,Non core
18603,16,Non core
18608,1,Non core
18613,1,Non core
18623,4,Non core
18627,1,Non core
18639,1,Non core
18640,2,Non core
18641,1,Non core
18643,2,Non core
18644,1,Non core
18645,1,Non core
18652,4,Non core
18653,7,Non core
18654,7,Non core
18655,1,Non core
18658,3,Non core
18665,4,Non core
18666,1,Non core
18668,1,Non core
18675,43,Non core
18677,3,Non core
18680,1,Non core
