owner_account_id,service,dev_status
7745,4,Core
7746,2,Non core
7750,1,Non core
7751,1,Non core
7752,1,Non core
7753,2,Non core
7761,8,Non core
7763,9,Non core
7764,4,Non core
7769,4,Core
7770,14,Non core
7774,17,Non core
7776,4,Non core
7780,2,Non core
7781,8,Non core
7784,2,Non core
7787,12,Core
7788,2,Non core
7789,2,Non core
7794,3,Non core
7795,1,Non core
7796,1,Non core
7802,1,Non core
7805,8,Non core
7806,12,Non core
7808,8,Non core
7812,2,Non core
7817,4,Non core
7822,6,Non core
7823,6,Non core
7827,2,Non core
7833,2,Non core
7837,1,Non core
7838,3,Non core
7839,1,Non core
7842,1,Non core
7847,6,Core
7848,1,Non core
7850,1,Non core
7858,4,Non core
7860,1,Non core
7870,3,Non core
7872,13,Non core
7874,3,Non core
7878,3,Non core
7882,9,Non core
7884,2,Non core
7888,3,Non core
7890,1,Non core
7891,1,Non core
7895,1,Non core
7906,1,Non core
7909,4,Non core
7915,3,Non core
7916,2,Non core
7921,2,Core
7923,15,Non core
7924,2,Non core
7929,1,Non core
7930,6,Non core
7933,1,Non core
7934,1,Non core
7935,1,Non core
7937,1,Non core
7948,1,Non core
7952,2,Non core
7962,3,Non core
7973,12,Core
7975,3,Non core
7976,2,Non core
7979,3,Non core
7980,1,Non core
7984,2,Non core
7987,2,Non core
7992,2,Non core
7993,1,Non core
7996,9,Non core
8001,6,Non core
8003,5,Non core
8004,2,Non core
8005,11,Non core
8016,2,Non core
8021,7,Non core
8027,2,Non core
8035,3,Non core
8037,7,Non core
8040,7,Non core
8041,3,Non core
8042,5,Non core
8052,4,Non core
8054,3,Non core
8056,3,Core
8057,2,Non core
8064,13,Core
8067,2,Non core
8072,4,Non core
8074,2,Non core
8083,4,Non core
8084,2,Non core
8085,2,Non core
8090,4,Non core
8091,2,Non core
8092,3,Non core
8094,2,Non core
8097,2,Non core
8098,1,Non core
8099,22,Core
8104,2,Non core
8105,1,Non core
8106,5,Non core
8107,2,Non core
8108,14,Non core
8112,4,Non core
8116,4,Non core
8119,17,Core
8122,23,Core
8124,16,Non core
8125,5,Core
8126,3,Core
8127,4,Core
8128,2,Non core
8129,2,Non core
8130,1,Non core
8133,1,Non core
8143,2,Non core
8148,5,Non core
8151,4,Non core
8153,2,Non core
8155,1,Non core
8157,23,Non core
8158,6,Non core
8161,3,Non core
8163,2,Non core
8172,2,Non core
8174,4,Non core
8175,17,Non core
8180,2,Non core
8181,1,Non core
8185,1,Non core
8188,3,Core
8190,7,Non core
8202,1,Non core
8205,5,Non core
8212,2,Non core
8213,21,Core
8214,2,Non core
8215,3,Core
8217,2,Non core
8228,2,Non core
8229,7,Non core
8241,1,Non core
8246,14,Core
8247,5,Non core
8253,1,Non core
8254,1,Non core
8255,3,Non core
8257,6,Non core
8259,7,Non core
8262,1,Non core
8264,6,Core
8276,15,Non core
8278,5,Non core
8279,4,Non core
8282,6,Non core
8286,3,Non core
8289,11,Non core
8290,21,Non core
8296,1,Non core
8297,6,Core
8298,4,Non core
8300,6,Non core
8301,1,Non core
8302,6,Non core
8304,1,Non core
8305,1,Non core
8309,1,Non core
8311,2,Non core
8313,13,Core
8315,1,Non core
8318,1,Non core
8321,2,Non core
8328,5,Non core
8330,3,Core
8334,9,Core
8336,2,Non core
8344,6,Core
8347,2,Non core
8350,1,Non core
8351,2,Non core
8358,21,Non core
8362,2,Non core
8367,11,Core
8369,1,Non core
8376,2,Non core
8378,1,Non core
8380,2,Non core
8399,2,Non core
8401,1,Non core
8406,1,Non core
8408,2,Non core
8410,6,Non core
8411,6,Non core
8412,4,Non core
8414,1,Non core
8415,4,Non core
8421,1,Non core
8426,2,Non core
8429,1,Non core
8430,1,Non core
8432,1,Non core
8434,1,Non core
8435,2,Non core
8436,1,Non core
8437,2,Non core
8439,1,Non core
8441,1,Non core
8443,5,Core
8446,4,Non core
8449,13,Core
8458,1,Non core
8464,3,Non core
8467,2,Non core
8478,9,Non core
8482,24,Core
8491,2,Core
8494,3,Non core
8495,2,Non core
8497,1,Non core
8505,1,Non core
8507,4,Non core
8510,1,Non core
8511,1,Non core
8512,2,Non core
8514,3,Non core
8515,1,Non core
8517,2,Non core
8532,3,Non core
8533,10,Non core
8537,2,Non core
8542,1,Non core
8543,11,Core
8544,2,Non core
8545,1,Non core
8556,57,Core
8574,6,Non core
8576,2,Non core
8577,2,Non core
8580,7,Non core
8582,3,Non core
8584,1,Non core
8587,1,Non core
8592,4,Non core
8596,1,Non core
8600,1,Non core
8601,6,Core
8607,3,Non core
8614,2,Non core
8617,1,Non core
8622,4,Non core
8623,10,Core
8625,1,Non core
8627,3,Non core
8641,7,Non core
8642,3,Non core
8645,1,Non core
8646,7,Non core
8648,8,Core
8651,7,Non core
8652,1,Core
8655,10,Core
8660,1,Non core
8662,4,Non core
8674,5,Non core
8685,2,Non core
8686,11,Non core
8688,6,Non core
8689,2,Non core
8690,1,Non core
8702,1,Non core
8716,7,Core
8718,1,Non core
8726,16,Core
8731,6,Core
8735,2,Core
8736,7,Non core
8743,1,Non core
8745,10,Non core
8748,3,Non core
8749,1,Core
8757,2,Non core
8759,5,Non core
8767,5,Non core
8768,6,Non core
8770,5,Non core
8784,1,Non core
8786,3,Core
8787,4,Non core
8788,10,Non core
8791,1,Non core
8792,2,Non core
8794,5,Non core
8797,3,Core
8802,1,Non core
8803,2,Non core
8808,2,Non core
8823,1,Non core
8824,4,Non core
8826,1,Non core
8829,1,Non core
8831,4,Non core
8832,1,Non core
8833,21,Core
8837,3,Non core
8840,1,Non core
8844,3,Non core
8846,7,Core
8851,11,Non core
8859,3,Non core
8861,3,Non core
8863,11,Core
8864,10,Core
8866,8,Non core
8873,7,Non core
8874,3,Non core
8876,4,Non core
8878,8,Core
8887,1,Non core
8888,1,Non core
8889,4,Non core
8890,4,Non core
8895,4,Non core
8898,2,Core
8907,4,Core
8910,1,Non core
8911,18,Core
8912,4,Non core
8921,2,Non core
8922,2,Non core
8932,12,Core
8933,1,Non core
8940,1,Non core
8944,1,Non core
8949,2,Non core
8959,2,Non core
8968,4,Non core
8976,10,Non core
8978,3,Non core
8984,6,Non core
8988,9,Non core
8989,1,Non core
8992,17,Non core
8994,8,Non core
8996,9,Non core
